date;number
1935-07-24;-686100
1958-03-05;104755
1917-04-06;990605
1937-11-28;357957
1915-05-22;-821407
1980-01-11;487087
2065-11-21;-498205
2027-07-05;-454219
2012-12-10;-505849
2043-10-04;-969893
1931-07-08;673163
1943-12-27;-548898
1969-06-13;108036
1961-05-06;-632923
2022-10-15;-678147
2006-04-06;571877
1978-08-05;-319683
2031-09-09;-924516
1968-12-15;-384687
2002-01-25;555382
1907-11-25;-654574
1938-01-30;339578
1908-10-12;-443186
2059-12-17;-15963
2029-05-01;-211406
1983-05-18;267735
2019-11-29;961883
1963-10-06;-897163
2015-09-27;-558572
1929-07-12;-431174
1959-09-14;354309
1957-09-29;-378619
1983-04-15;-383369
2048-11-26;-518683
2044-12-28;723456
1921-04-02;836722
2022-02-26;242864
1990-05-07;139364
1932-01-30;102392
2015-04-05;-333628
2026-08-29;552847
1930-06-27;-22146
1956-08-01;588889
1912-02-04;237316
2000-12-18;-259118
2045-07-11;214936
1915-02-17;274461
1915-04-15;-377020
2031-08-24;-608293
2070-09-22;-766991
1947-11-25;551126
1943-10-08;124471
2070-05-03;-600599
2028-08-15;-468606
1932-11-04;-845366
2040-03-06;-198644
2020-04-08;-444403
2029-11-17;221414
1900-09-15;365186
1981-07-14;663820
1990-03-08;-919901
1905-09-14;911920
1950-02-22;427947
2040-03-27;399315
1928-11-05;-849287
1925-12-13;124592
1948-01-12;607167
2025-02-12;168625
1961-12-18;144596
1980-07-29;840361
1914-07-26;-674196
2043-02-06;-591597
2027-09-25;75651
1913-05-15;-599433
2028-07-28;-707416
2039-01-26;-218448
1902-04-26;-965092
2046-12-21;-222730
2013-09-08;294980
2037-11-06;-2520
1969-04-27;-335785
2002-05-14;-206482
1995-10-30;-772411
1911-03-19;689944
1959-12-09;-931881
2034-06-25;425268
2041-12-26;509360
2007-12-21;206032
1966-09-11;-531323
2016-02-14;763585
2036-03-18;-910856
1917-03-22;-781568
1972-07-25;-548884
2060-03-14;418742
1977-04-18;33978
2003-12-30;-290290
1996-06-08;-499044
1987-12-04;-750921
1922-06-09;297031
2064-06-14;-942854
1949-06-11;741586
1919-01-14;227160
2052-05-10;-423066
1912-09-07;-836736
2050-01-31;732247
1956-10-18;-428914
1910-11-15;-970126
1915-02-15;-511446
1949-12-03;-586155
2070-08-17;149729
1952-03-05;572258
2067-05-17;-654754
1960-07-19;906945
1907-05-18;893901
2015-12-15;-810715
1908-02-11;-956468
2008-10-08;725267
1965-05-08;-90838
2003-10-01;-649007
2054-09-29;261131
2065-07-12;-723650
2024-09-15;-720774
1937-12-24;-684551
2003-06-12;399598
1921-10-04;705338
1924-10-02;599684
1929-06-19;-641457
1986-01-15;736013
1919-10-22;368739
1933-02-24;508430
1997-08-21;508340
1974-10-30;-505429
2011-05-03;312333
2057-11-15;18753
1980-06-15;-110037
2031-08-10;-390071
1970-06-27;-380449
1988-12-28;818191
1951-03-17;-283456
1965-03-01;598386
1905-07-06;-596951
2050-03-08;-107651
1992-11-28;-415998
2064-12-26;-457789
1954-07-04;-27698
1953-04-03;-122706
1962-05-31;408931
2038-07-07;-220775
1923-06-07;-884193
2055-08-30;632402
1921-06-26;886523
1906-02-11;695695
2024-10-04;406463
1995-10-13;-579509
2010-08-15;-391454
2006-11-17;25829
2000-03-27;-164088
2070-06-11;-159897
1961-01-28;-888104
1984-02-21;-496142
2066-02-08;819042
1922-07-20;981336
1905-11-21;536699
2067-10-07;377735
1972-06-18;-55247
1921-08-22;984585
2022-07-23;391103
2044-05-16;682850
1995-12-09;464262
2027-01-29;72610
2007-05-05;285249
1909-03-04;130075
2032-07-02;778520
1949-06-30;-899479
2039-02-22;972751
2031-12-16;-973692
2036-12-14;25840
1989-02-28;173428
1912-09-15;-180996
1941-02-01;-956392
1996-08-30;-432301
1922-12-16;425189
2014-04-09;217991
1956-01-02;514054
2060-02-22;302089
1980-07-08;981420
1985-08-17;-759621
2031-12-07;511436
1916-01-20;79994
1970-02-20;35435
2038-06-03;-403894
2029-11-19;644833
1964-12-20;557841
2009-10-30;-846901
1915-01-06;928783
1973-07-23;-387554
2066-10-23;-19754
1928-03-07;-711896
1973-03-05;-139841
2044-11-18;150885
1987-08-07;-858978
2034-06-16;671145
1960-05-16;971085
2039-08-20;-999345
1978-05-26;782308
1991-04-13;876186
1991-08-24;27503
1910-02-22;62192
1964-11-07;425241
1948-12-23;36127
1900-12-24;-850737
2053-05-25;513473
1901-08-06;-581809
1984-08-30;-385058
2064-10-02;201476
1979-01-11;849298
1960-02-04;-808065
2023-08-27;140627
1960-12-07;716241
1927-10-10;-874618
2052-09-17;474327
2067-07-10;-423777
1909-04-07;312410
1940-03-06;890483
1987-12-06;-250860
1910-09-06;602991
1968-01-29;-310080
1955-09-03;-25237
1974-01-30;-93710
1913-08-25;727950
1927-11-28;439437
1977-11-07;-698548
2043-07-28;355852
1978-10-14;178575
1931-08-30;-290202
1910-03-31;320544
2048-03-19;888368
1957-11-05;498912
2049-11-02;-971604
2021-05-05;-593489
1986-07-22;607206
2005-08-30;493763
1956-12-16;-429284
2017-02-03;404459
1983-06-28;485810
1915-12-20;508567
1953-01-06;-707449
1946-07-11;-321078
1959-09-11;579656
1994-10-13;-320607
1925-09-29;-633899
1981-04-22;-267404
1931-12-28;-586201
1967-04-04;622240
1946-03-08;-474369
2012-02-26;449373
2069-04-10;367413
1976-01-27;725676
2042-01-07;506478
2066-04-02;-332332
2040-12-08;927608
2041-10-08;-413273
1950-11-25;-966230
1973-01-10;-123736
1942-07-12;-579740
1930-12-02;266975
2004-04-04;-556565
2003-09-21;11559
1911-05-20;-233142
2005-12-10;-837670
2054-02-02;-746849
2013-12-23;705197
1931-08-29;334757
1982-06-03;-92718
1974-11-28;666419
1902-12-10;-821997
1990-04-08;296936
2024-04-20;436747
2043-07-29;-956766
1915-04-03;-452850
2055-01-28;-304370
1968-08-11;-292416
1971-03-12;463010
1938-11-30;-197351
1965-07-27;274671
1984-08-11;149984
2045-07-29;-601879
2063-07-27;233216
2058-09-30;-487725
1963-04-06;-414919
2007-07-08;-727489
1901-12-07;715748
1914-10-11;385463
1911-05-21;852408
2069-12-10;676238
2001-10-24;998335
1982-03-24;-647246
1913-03-04;-66969
2013-03-14;181677
1975-05-24;801335
1949-09-08;-10220
1962-09-08;479180
1996-07-18;118647
1928-09-26;-980459
1903-07-02;589675
1995-10-08;-564258
2069-01-25;704869
2007-03-01;-410643
2023-08-29;-640798
1997-04-14;515362
1961-04-03;459893
1957-06-24;-66374
1962-08-15;950809
1924-05-03;-431570
1901-05-13;-923567
2047-07-23;-697683
1995-01-22;-521138
1959-03-20;861796
1977-07-01;-889746
1937-06-05;-918129
2003-07-26;831462
1984-06-30;-255026
2036-02-17;-860938
1993-10-21;-548068
1967-09-23;-331681
1955-05-06;667782
1934-11-02;871795
2000-08-20;980206
2011-06-05;798435
1939-06-22;-111585
1974-01-04;725653
2016-05-27;-74222
1993-08-28;-390539
2018-04-09;-943904
2014-06-11;922964
1977-09-17;520047
1938-05-16;330746
1953-10-31;824436
1904-06-26;742645
1926-02-05;-42525
2064-05-16;689866
2015-06-27;-29256
2021-04-10;743616
2033-09-29;-399349
1901-09-24;609997
2001-03-20;840427
2025-10-28;-171641
2062-11-12;157398
1947-01-16;-814475
2031-11-18;-7281
1973-08-20;80330
1963-01-27;575741
2030-02-08;59690
1921-03-23;514487
1944-11-04;626996
2040-09-01;807140
2033-08-09;799432
2069-10-06;567852
1914-08-17;930802
1971-09-07;274403
1950-07-26;179908
1924-11-07;146357
1974-01-17;-309879
1919-09-30;716727
2035-03-01;54619
1974-12-20;345581
1912-07-15;-123811
2030-02-03;-80091
2061-10-16;78502
1903-02-20;-762212
1944-10-24;-439482
2026-09-22;466150
2031-02-23;-328767
1902-11-03;202718
2013-04-10;371932
2005-04-24;68616
2023-10-08;-676645
1982-03-06;516237
1928-09-30;78683
1995-12-09;202526
1967-06-20;-87799
1935-01-30;-712969
2025-03-19;540464
2026-06-28;587893
2000-02-20;407094
1923-01-25;-847408
2024-01-07;336492
2009-10-16;-824804
2033-04-20;-699839
1974-03-12;-146401
1978-02-27;-41249
1964-01-30;-843709
1950-09-13;808619
2036-10-22;-282926
1986-01-10;245673
1918-06-21;-902251
1956-07-13;679861
1908-09-14;-663518
1958-12-17;-532060
1913-08-06;-325334
1911-12-07;828312
1946-09-06;810699
2033-11-13;232466
1934-03-09;-571537
1927-08-13;778500
2024-05-30;-71064
1969-05-14;-124789
2044-01-15;80947
1934-02-05;459003
2047-08-02;-116439
1962-03-02;-820330
2046-06-10;-47295
1912-03-06;-636396
1990-11-16;-959963
2020-12-03;761534
1910-07-21;875740
2009-09-13;511260
1946-06-21;524176
1943-03-01;423937
1908-06-14;-122714
1960-01-27;-670610
2049-10-06;-921288
2002-02-20;-456720
1930-09-27;-309801
1977-07-15;903593
1940-02-17;201161
1966-12-13;-210236
1995-01-02;-750900
2059-09-21;-391706
1926-10-16;917145
1947-10-20;-63051
1900-06-03;-345451
1916-04-12;528714
1911-09-16;-331724
2044-08-04;731259
1967-02-14;785268
1910-09-12;-925608
1907-01-23;-663360
1992-08-28;-117292
2070-04-22;-444522
2030-06-06;-290369
2008-06-16;470180
1930-10-25;-12992
1927-10-13;-307453
1995-09-20;798589
2039-06-19;-276417
1935-10-15;-11620
1968-11-18;-890001
1913-06-16;-738919
1963-03-27;-155664
2017-10-12;-376250
2039-09-04;895338
1927-10-13;-284552
2020-04-17;-940082
1907-08-14;349190
1989-08-01;545998
2051-11-10;-884416
1939-01-08;250603
1923-11-24;-992434
1965-10-29;-105640
1903-07-04;700801
2029-07-05;964128
2025-02-24;-118870
1982-09-06;-968889
2057-01-08;772990
1941-09-12;442512
1955-05-23;-664771
1975-05-27;545445
1926-07-31;122869
2017-03-04;-622180
1945-07-26;-455649
1970-10-01;-595630
2033-07-12;-933377
2012-06-17;874167
1965-09-26;121556
2044-08-23;-653057
2010-10-16;181093
1947-01-03;-818000
2061-04-19;972286
1920-07-07;36487
1992-05-26;525417
1936-06-01;-427332
1918-12-07;281793
2019-11-12;-205016
1902-01-26;-924220
2011-05-28;611661
2049-05-19;911326
2053-01-15;352670
2034-12-21;-798477
2012-05-05;-953583
1946-04-03;76619
2033-01-09;-401094
1947-02-24;124676
2043-09-07;683912
1948-06-11;-905469
1948-10-21;323093
1998-04-28;-677208
2007-06-16;-875038
1995-01-08;-603641
1929-02-08;-389169
1976-09-04;935936
2044-04-13;-562970
2015-12-24;-73342
2070-06-29;-730722
1970-09-21;-683624
2057-05-08;318063
1952-07-11;905227
1943-06-27;831483
1949-02-07;400459
2062-10-25;525493
1959-03-17;-638300
2046-12-31;-403026
1945-11-08;292277
1911-11-05;877884
2000-07-06;-585353
1946-10-17;471338
2053-03-30;-932709
1984-03-10;-14589
2019-02-18;-306348
1995-12-19;147243
1951-11-22;-918816
2014-05-14;263879
2002-01-12;-729421
2032-10-13;240778
1924-04-24;-813467
2070-03-15;285202
2063-02-01;729250
1998-06-30;510846
1983-03-31;788569
1928-06-16;702624
1910-09-16;-430000
1981-07-22;-799498
1963-10-13;-979972
2020-11-13;-764319
2065-01-31;-45819
1991-04-18;-357853
2065-11-28;77539
1960-09-25;-402077
2061-10-25;980401
1939-08-10;-356265
2004-06-13;478090
1995-02-02;-698555
2012-09-09;-727583
1995-12-22;976823
1958-10-17;362616
1977-09-26;239298
1905-09-16;-240542
1944-02-21;323267
2033-09-14;813020
1926-02-16;738947
2066-11-15;369499
1968-01-21;-644169
1945-04-09;-691173
1905-02-14;816080
1977-01-11;-513712
1986-09-10;-242409
2058-08-09;588568
1934-09-18;785081
2021-04-04;498653
2015-05-23;978443
1944-03-29;-895567
1921-07-05;587550
1902-06-01;-353274
2027-02-26;-670278
2047-08-08;428376
1958-04-26;-414247
2048-05-06;784025
2059-10-29;7672
1979-09-10;-314158
2017-11-27;362688
2017-06-08;593282
1970-05-03;-193732
1978-12-17;382153
1975-01-11;-554365
1908-08-13;375872
1990-07-25;-255677
2030-06-26;-425664
2070-08-18;784866
1944-05-27;900399
1978-01-29;-358008
2050-06-15;27069
1986-05-24;9037
2008-03-05;-787463
1907-07-01;-361433
1941-06-29;26094
2003-11-05;-249179
2006-08-08;240431
2033-05-09;907991
1990-07-06;280788
1990-01-18;17085
2007-07-28;-332744
1991-09-22;351210
1984-04-20;-28539
2040-12-02;-884502
1904-03-20;868456
1989-12-30;-965684
2026-02-05;756997
2026-11-21;677891
2027-07-29;470082
2026-11-24;447767
1953-07-24;145810
2054-12-30;189183
1938-04-10;947663
2070-07-25;-26908
1901-02-24;774509
1925-01-16;-510487
1990-09-23;-894574
2062-08-25;182994
1983-06-23;-190584
2060-09-17;-825885
1907-01-13;854141
2002-08-15;776428
2010-10-24;574055
2034-12-04;604240
1938-10-07;-940558
1949-10-29;-159115
2053-01-21;441828
1900-02-04;-172699
2049-01-03;428988
1916-10-26;-973824
1986-04-02;816961
2033-10-12;852641
2045-03-06;-757224
2011-06-18;-883786
2001-04-11;-939716
1982-06-06;921105
2044-07-18;527647
2019-07-28;-582971
1938-01-11;-714903
1901-12-04;-791193
1904-01-20;-849613
2063-10-24;-613837
1976-12-11;-315042
1960-01-04;-901610
2062-01-25;-875101
2017-02-18;780765
2034-02-18;464295
1968-11-13;-783910
1999-02-18;636842
1964-04-27;549227
1961-01-11;-689774
1994-08-03;-476283
1940-08-18;-562062
2055-06-07;85933
1928-02-09;-947303
2014-06-07;-896397
1984-01-31;-984444
1945-03-08;-756231
1974-01-22;513092
1903-05-28;-595473
1975-01-12;229424
1967-07-06;-61044
1927-03-09;-339233
1900-09-14;998006
1927-03-03;600688
1900-08-26;603353
2001-09-17;591584
1998-09-21;-73188
1961-10-14;471372
1906-03-02;649259
2041-10-09;-768754
1976-12-21;622111
2011-12-06;-716254
2062-06-10;-956770
1969-02-01;-650313
2056-06-12;604445
1947-05-08;-718546
2009-03-29;-813757
2062-10-17;321874
1984-07-28;927421
1964-10-19;562425
1980-03-24;998034
2023-06-03;-465975
2001-02-24;-987498
2035-05-05;-326075
1904-07-14;-61520
1956-09-25;-374479
1903-01-12;462466
1906-01-21;-102999
1953-02-08;303405
2048-08-25;-668277
1907-07-29;-282137
1915-10-21;489656
2021-04-09;-680640
2045-01-13;98591
1935-06-24;-562431
1910-12-29;477517
1934-01-25;-182849
1929-06-05;-498757
2055-11-22;-296283
1942-01-12;-194065
1909-03-12;-296547
1995-11-24;460587
1964-09-19;-660580
2024-05-28;-739553
2042-07-17;582200
2013-09-04;-202777
1942-09-24;630825
2045-10-04;271669
1911-03-20;-571033
2019-10-18;871825
2028-05-31;-291239
2000-05-31;-195342
2011-08-14;928593
2038-03-18;-585284
2058-11-27;171325
1992-03-08;-11673
1928-02-03;47159
2049-04-08;-439574
1980-04-09;919750
2001-05-08;488557
2036-12-02;636959
1939-12-17;468480
2033-02-04;344064
2009-08-04;653312
1972-01-14;940676
1937-07-29;277289
1990-10-04;454230
1928-11-23;-967835
1988-06-20;568757
1963-10-23;614657
1976-06-27;-121251
2053-05-05;-473736
2059-07-09;698953
1969-08-12;-563404
1903-01-01;653591
1941-07-20;592587
1949-11-18;773322
2029-02-08;-482656
2025-11-10;557190
1904-01-24;-221336
1909-05-13;-244202
1999-02-25;716990
1970-01-18;249403
2042-09-01;547082
1902-03-21;988663
1966-12-31;-290317
2020-08-03;185242
1910-02-12;-950042
1932-06-14;-491481
1946-02-24;-387812
1997-07-27;13150
1944-01-03;-407969
1960-03-06;-673268
2050-03-18;-37537
1905-12-16;689248
1908-05-17;-297532
1934-08-08;730509
1933-03-20;-991594
1975-06-03;349629
1972-02-22;-36354
2016-07-20;267335
2008-02-14;940107
1943-04-10;-16512
1976-03-17;-759461
1926-01-22;-247148
2017-04-27;-70252
2050-04-16;-80573
1982-02-01;-590076
2030-06-08;514438
1946-02-08;-550347
1983-11-18;-482308
2068-08-25;-604393
2062-04-13;-980419
1930-03-19;-744163
1943-01-27;608921
1977-07-09;415486
2025-02-16;-67923
1907-01-30;89403
2001-04-20;396255
2050-11-17;705735
1956-12-18;201290
2020-07-26;-263584
1955-08-26;-196943
2034-11-02;-710522
1981-06-04;238824
2052-05-27;-941577
1999-07-10;907528
1919-02-21;253275
1957-03-19;838689
2017-01-09;-43785
1906-06-20;-819338
1942-05-11;-215586
1917-02-06;-244050
1902-08-24;-153871
1952-11-10;931433
1994-04-16;980405
1956-01-29;-165611
2027-07-16;-357012
2046-09-02;-155531
2009-06-12;229219
2047-12-20;-36020
2068-09-13;715898
1998-12-09;-521507
1937-12-21;480325
1906-12-27;400634
1991-11-27;-398691
2012-01-01;277860
1920-02-10;-231691
1977-05-22;648735
1911-12-05;-92222
1944-04-03;-795553
2046-03-27;-177451
1992-07-30;621009
1971-03-31;320335
1944-08-09;-9128
2069-04-11;-903353
1947-09-28;668617
1943-01-07;482031
2056-12-05;-690836
2058-02-17;780621
1900-08-19;586270
2008-07-17;395001
2018-11-02;557245
1978-08-15;-511850
2029-05-09;853074
2063-03-27;400741
1966-02-11;-72753
1911-08-28;-305083
2036-06-19;216900
2020-10-02;-109277
2036-08-30;-113592
2024-09-05;375838
1906-04-09;-68213
1919-06-05;-124
1908-02-28;288514
1913-06-17;502309
2044-06-02;-55974
2055-08-12;400021
2044-08-29;43895
2067-04-01;6418
1953-01-15;655512
1998-01-25;-401196
2058-03-30;-416851
2042-07-15;302119
1972-11-21;467888
1982-07-03;-725829
1950-07-06;10607
1915-05-31;-873120
2023-03-06;-729284
1969-12-17;295951
1900-06-30;-247759
1907-01-03;615166
1948-12-22;304104
2041-07-06;-441894
1934-03-26;-931954
2062-10-09;-75058
1986-03-13;891735
1927-10-06;-381298
2017-06-22;-182704
2023-09-12;-371043
1989-09-14;-747563
2049-12-31;-528838
2023-12-13;304752
1904-04-16;-54936
2063-03-09;-904936
1933-02-07;876504
1980-10-31;363684
1973-07-04;-734871
2026-04-16;-507437
1929-11-13;725890
2060-11-11;-25603
1908-08-16;683087
1958-03-07;-522768
2069-03-23;886969
2012-01-25;-473255
1964-05-06;-945100
2024-07-10;341625
2016-01-13;-88247
1909-08-13;7502
2055-03-06;-101928
1959-01-24;133323
2024-07-11;-216383
1928-04-19;295156
2029-01-23;-354433
1917-09-11;19723
2061-04-26;756719
1973-09-16;752058
1998-03-26;-27260
2030-01-30;934982
1953-09-04;747210
2063-03-23;78765
1973-10-15;-60575
1977-04-23;460239
1928-07-15;-615239
2018-06-30;497988
2044-07-01;762758
1961-08-23;673888
2064-04-12;639429
1980-11-19;-328574
2057-02-09;-553298
1963-10-05;169846
2041-05-24;145613
1962-09-11;-898957
1978-08-25;753684
1957-06-13;829301
2058-09-03;-773999
1979-11-13;-716402
1928-04-29;-584097
1994-12-13;658929
2006-05-31;-122492
2066-04-24;179663
2057-02-25;326414
1998-05-14;-912164
1912-08-18;824512
1908-04-30;255121
2042-05-24;604772
1930-11-30;-879803
1947-05-23;711428
2057-09-05;730256
1918-06-02;-786615
1987-12-09;-77736
1992-06-24;97169
2012-11-07;-327881
2028-06-27;-291743
2010-02-16;-200316
1943-08-11;-69146
1932-10-16;62568
1993-04-28;604441
2002-12-26;75978
2001-01-15;-76664
2056-09-12;333233
1928-01-02;-928660
1977-04-17;-740271
1938-12-27;-766927
2056-08-28;-822537
2021-04-16;-470600
2003-03-04;-271467
2025-12-20;212071
1991-01-04;813318
1967-06-07;332448
1949-04-30;96052
2018-01-24;-519403
1912-06-21;-83181
2045-01-16;-786320
1988-08-14;39507
2054-02-16;-279047
2047-11-03;353087
2004-07-03;274875
1979-03-22;-386973
1919-03-12;669555
1960-01-24;974968
2032-09-06;-345674
2065-10-16;804442
2013-08-22;-127576
1904-10-19;-954947
2053-07-11;779977
2053-01-30;-289941
2047-08-03;907326
2013-11-28;-716158
1953-02-19;795447
2065-02-07;424323
1960-08-28;86803
1979-10-22;-449311
1900-01-02;-221906
1941-03-29;123222
1910-07-09;-170551
1960-05-01;261945
1954-10-03;-271370
2018-09-18;330685
1937-03-13;-232386
1922-08-14;31235
2013-10-27;940865
1908-10-29;1787
2017-06-30;845631
2041-09-16;83792
2058-04-27;362494
2051-12-21;-3281
1914-11-06;599567
1919-08-10;703387
1951-09-24;-614593
1993-12-24;-824635
2029-09-02;-901678
1956-02-10;952208
1957-06-30;935296
1912-11-13;-505127
1993-09-01;-416428
2002-03-27;394326
1903-05-30;-213590
1965-02-03;934043
2002-01-16;34818
1998-12-26;84577
1980-10-03;-91690
2018-02-04;-489757
1986-05-23;678465
1943-10-10;254926
1952-01-23;877066
2014-04-29;78175
1991-05-07;-110679
2069-10-09;614023
1911-09-23;857135
2030-05-02;836819
2053-05-30;564163
2058-05-14;-567443
1903-06-12;-389338
2010-04-20;-756025
1987-04-26;143843
1963-10-12;-144202
2069-04-12;839375
2019-05-11;866545
2007-03-11;-361890
2012-01-21;772828
1938-02-28;-135378
2013-07-18;87293
1952-02-19;-754975
1992-03-27;-131722
2063-09-02;-404263
1975-03-07;773006
1916-07-11;814732
1990-01-08;791136
2051-01-03;-701674
1911-01-12;932322
1978-01-21;-176248
1919-07-22;472350
1936-06-22;-363388
1968-05-13;-943118
2065-02-25;988759
1911-07-13;660532
2020-08-21;696373
2012-10-06;405652
1900-04-21;-323222
2036-09-27;-770749
2023-06-18;-16123
2027-05-21;-411125
1941-10-28;-946758
2054-07-23;-250703
2058-11-16;-847230
1974-08-22;-5074
2037-08-04;700991
2032-07-31;-994618
2051-02-07;-320294
2016-11-24;932001
1929-12-23;-843103
2047-08-05;-745897
1981-05-25;-948907
1913-05-27;84304
1995-11-06;612337
1907-02-07;-607372
1996-01-13;570313
1913-08-14;927523
1927-05-07;767341
2006-10-17;527356
1918-09-01;-652535
2025-11-07;-588630
1984-07-16;316795
1934-10-15;281744
2070-12-06;-555309
1991-04-07;-822971
1991-11-19;-49403
1990-10-30;-568885
1921-07-08;-577368
2008-08-27;-159590
1918-02-16;796420
2045-04-14;-374566
1979-07-25;125191
2041-09-18;-616733
2037-05-03;369623
1984-04-02;130523
1990-08-21;106281
2007-04-11;-526179
1901-12-27;-600829
1998-11-12;-897932
1962-05-06;-23615
1901-03-21;195887
1991-02-06;-275902
1939-12-17;-970900
2055-02-14;573558
1924-02-23;656190
2055-10-17;439391
1907-11-01;295209
1986-08-02;545756
1963-08-16;187239
1992-04-16;784120
2049-06-17;-665090
1977-11-11;195244
1904-12-19;-163752
2038-08-13;232460
2005-06-24;-990509
2044-08-07;-487228
1965-08-25;538509
2039-05-05;186581
1903-01-12;-603987
1990-02-16;643300
1980-08-17;-722776
2005-11-24;-807683
2011-06-01;386405
2067-12-27;-141918
2034-05-20;68918
2039-03-12;-367177
1960-11-27;-271189
1952-04-05;-340928
1963-02-25;379659
2052-05-26;898342
1991-03-01;865982
1915-09-08;-670405
2065-10-05;325700
2007-02-01;-277153
1933-02-01;-273380
2066-10-16;-577579
1952-06-28;124431
1937-08-24;874131
1922-06-07;756701
1900-11-19;-404989
1918-12-02;-451663
2060-09-26;792792
1952-12-05;-614205
1936-09-20;105685
2003-07-24;166871
1914-12-31;357152
2048-06-30;497490
1981-11-18;651346
1902-01-09;869951
2054-12-19;376717
1944-05-15;863264
1934-12-25;-891848
2021-11-23;417582
2003-02-25;-412368
1901-12-24;839416
1947-07-30;67487
1943-07-13;-637790
2034-01-06;-477021
1929-05-15;163083
2020-01-18;-677232
1908-08-22;-921807
1994-06-19;-5632
1930-12-10;-584091
2068-05-14;-270000
2019-06-26;641461
1936-02-06;146054
2044-04-24;-451139
2044-07-18;-727519
2028-11-04;265617
2013-07-26;-322401
1996-09-01;464512
2006-08-05;31363
1985-03-12;-170467
1941-12-09;-774338
1905-05-30;-512646
1979-02-02;93965
2023-01-08;-769822
1948-05-06;739540
1991-09-27;-73752
1945-08-09;-332171
2046-09-04;-42381
2066-06-12;-906293
1920-02-10;469453
2018-04-07;358167
2019-10-17;-110765
1958-12-03;-665860
1950-10-28;-908754
1988-11-16;-259817
1939-11-03;945303
2066-09-12;515868
2040-02-16;854929
1967-03-14;-894436
1947-10-09;-625332
1939-03-11;550115
1912-07-07;172471
2028-04-21;-397992
1904-02-15;362795
